"Label Name","Catalog #",UPC,"Release Name","Release Version","Release Artist","Release Date","Release Genre","Release Subgenre",Track,ISRC,"Song Name","Mix Version","Primary Artists","Featuring Artists",Remixers,"Track Length","Song Genre","Song Subgenre"
"Independent (No Label)",CAT1682188,199891793891,"EURO STREET FILES",,"Chico Loco 40",2026-04-10,Instrumental,Instrumental,24,USLZJ2608428,Power,,"Chico Loco 40",,,02:18,Instrumental,Instrumental
"Independent (No Label)",CAT1592070,199891222674,"LA CALLE NO CALLA ll",,"Chico Loco 40",2026-04-09,"Hip Hop/Rap","Hardcore Rap",8,QZZEB2554317,"System Bla Order",,"Chico Loco 40",,,02:07,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1592070,199891222674,"LA CALLE NO CALLA ll",,"Chico Loco 40",2026-04-09,"Hip Hop/Rap","Hardcore Rap",1,QZZEB2551162,"Pere Noél V2",,"Chico Loco 40",,,01:08,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1592070,199891222674,"LA CALLE NO CALLA ll",,"Chico Loco 40",2026-04-09,"Hip Hop/Rap","Hardcore Rap",2,QZZEB2551185,"La Calle No Calla",,"Chico Loco 40",,,02:21,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1592070,199891222674,"LA CALLE NO CALLA ll",,"Chico Loco 40",2026-04-09,"Hip Hop/Rap","Hardcore Rap",3,QZZEB2551240,"Estoy Enfermo",,"Chico Loco 40",,,03:35,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1592070,199891222674,"LA CALLE NO CALLA ll",,"Chico Loco 40",2026-04-09,"Hip Hop/Rap","Hardcore Rap",4,QZZEB2551245,"Ni Respecto",,"Chico Loco 40",,,01:58,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1592070,199891222674,"LA CALLE NO CALLA ll",,"Chico Loco 40",2026-04-09,"Hip Hop/Rap","Hardcore Rap",5,QZZEB2551538,"5 ans",,"Chico Loco 40",,,02:35,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1592070,199891222674,"LA CALLE NO CALLA ll",,"Chico Loco 40",2026-04-09,"Hip Hop/Rap","Hardcore Rap",6,QZZEB2551602,"Repost (Freestyle ll)",,"Chico Loco 40",,,01:58,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1592070,199891222674,"LA CALLE NO CALLA ll",,"Chico Loco 40",2026-04-09,"Hip Hop/Rap","Hardcore Rap",7,QZZEB2551807,"Batterie Faible",,"Chico Loco 40",,,02:13,"Hip Hop/Rap","Hardcore Rap"
"Independent (No Label)",CAT1592070,199891222674,"LA CALLE NO CALLA ll",,"Chico Loco 40",2026-04-09,"Hip Hop/Rap","Hardcore Rap",9,QZZEB2554352,"Bla Username",,"Chico Loco 40",,,02:07,"Hip Hop/Rap","Hardcore Rap"
